sym,time,action,price,size,orderid
BTBT,20201230  15:36:00,BUY,15.28,16,17.0
BNGO,20201230  15:38:00,BUY,2.28,112,119.0
BNGO,20201230  15:42:00,SELL,2.18,112,120.0
BNGO,20201230  15:43:00,BUY,2.28,112,121.0
BNGO,20201230  15:45:00,SELL,2.195,112,122.0
BNGO,20201230  15:45:00,BUY,2.28,112,123.0
BTBT,20201230  15:46:00,SELL,15.1,16,18.0
BNGO,20201230  15:46:00,SELL,2.1901,112,124.0
